Quarkus,Quarkus
Quarkus Security,Quarkus Security
quarkus security,quarkus security
buildtime,ビルド時
executable,実行可能ファイル
bean,Bean
augmentation,オーグメンテーション
reaugmentation,再オーグメンテーション
configuration mapping,設定マッピング
configuration property,設定プロパティ
config property,設定プロパティ
extension method,拡張メソッド
extension,エクステンション
annotation,アノテーション
qualifier,修飾子
Swagger,Swagger
swagger,swagger
OpenAPI,OpenAPI
openapi,openapi
Hibernate,Hibernate
hibernate,hibernate
Hibernate Validator,Hibernate Validator
hibernate validator,hibernate validator
Hibernate ORM with Panache,Hibernate ORM with Panache
JDBC,JDBC
jdbc,jdbc
Micrometer,Micrometer
micrometer,micrometer
Panache,Panache
panache,panache
RESTEasy Reactive,RESTEasy Reactive
resteasy reactive,resteasy reactive
Narayana,Narayana
narayana,narayana
Mutiny,Mutiny
mutiny,mutiny
Camel,Camel
camel,camel
Mandrel,Mandrel
mandrel,mandrel
Stork,Stork
stork,stork
Funqy,Funqy
funqy,funqy
Undertow,Undertow
undertow,undertow
SmallRye,SmallRye
smallrye,smallrye
Vert.x,Vert.x
vert.x,vert.x
AMQP,AMQP
amqp,amqp
RabbitMQ,RabbitMQ
rabbitmq,rabbitmq
Kafka,Kafka
kafka,kafka
Flyway,Flyway
flyway,flyway
Spring DI,Spring DI
spring di,spring di
Spring Security,Spring Security
spring security,spring security
Spring Data,Spring Data
spring data,spring data
Spring Web,Spring Web
spring web,spring web
Picocli,Picocli
picocli,picocli
Liquibase,Liquibase
liquibase,liquibase
Gradle,Gradle
gradle,gradle
Maven,Maven
maven,maven
JReleaser,JReleaser
jreleaser,jreleaser
OpenTelemetry,OpenTelemetry
opentelemetry,opentelemetry
OpenTracing,OpenTracing
opentracing,opentracing
Dev Services,Dev Services
dev services,dev services
Infinispan,Infinispan
infinispan,infinispan
Azure Functions,Azure Functions
azure functions,azure functions
Google Cloud Functions,Google Cloud Functions
google cloud functions,google cloud functions
Amazon Lambda,Amazon Lambda
amazon lambda,amazon lambda
Amazon Lambda SnapStart,Amazon Lambda SnapStart
amazon lambda snapstart,amazon lambda snapstart
Jakarta Persistence,Jakarta Persistence
jakarta persistence,jakarta persistence
Jakarta REST,Jakarta REST
jakarta rest,jakarta rest
Container Image,コンテナイメージ
GraalVM,GraalVM
graalvm,graalvm
Docker,Docker
docker,docker
Podman,Podman
podman,podman
Kubernetes,Kubernetes
kubernetes,kubernetes
OpenShift,OpenShift
openshift,openshift
readiness probe,readiness probe
liveness probe,liveness probe
OpenID Connect,OpenID Connect
openid connect,openid connect
WebAuthn,WebAuthn
webauthn,webauthn
Basic authentication,Basic認証
Bearer authentication,ベアラー認証
proactive authentication,プロアクティブ認証
authorization,認可
authorization code flow,認可コードフロー
credential,クレデンシャル
authentication mechanism,認証メカニズム
authorization code flow mechanism,認可コードフローメカニズム

